work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_location,company_size
2023,MI,FT,Machine Learning Engineer,36000,100,MX,S
2021,MI,FT,BI Data Analyst,36259,50,US,L
2021,EN,FT,Data Scientist,36643,50,FR,L
2022,SE,FT,Data Engineer,36773,0,ES,M
2022,SE,FT,Data Engineer,36773,0,ES,M
2022,SE,FT,Data Engineer,36773,0,ES,M
2022,SE,FT,Data Engineer,36773,0,PT,M
2022,SE,FT,Data Analyst,36773,0,ES,M
2022,SE,FT,Data Analyst,36773,0,ES,M
2022,SE,FT,Data Analyst,36773,0,ES,M
2022,MI,FT,Data Analyst,36940,100,GB,M
2022,MI,FT,Data Scientist,36940,0,GB,M
2023,SE,FT,Data Engineer,37558,0,PT,M
2022,SE,FT,Data Scientist,37824,0,ES,M
2022,SE,FT,Data Scientist,37824,0,ES,M
2022,SE,FT,Data Scientist,37824,0,ES,M
2022,SE,FT,Data Scientist,37824,0,ES,M
2022,SE,FT,Data Scientist,37824,0,ES,M
2022,SE,FT,Data Scientist,37824,0,ES,M
2022,SE,FT,Data Scientist,37824,0,ES,M
2021,MI,FT,Data Scientist,37825,100,ES,L
2022,SE,FT,Data Scientist,38000,100,US,M
2022,SE,FT,Data Scientist,38000,100,US,M
2022,SE,FT,Data Scientist,38000,100,US,M
2022,SE,FT,Principal Data Architect,38154,100,IN,L
2021,MI,FT,Applied Machine Learning Scientist,38400,100,US,M
2023,SE,FT,Data Scientist,38631,0,ES,M
2023,SE,FT,Data Scientist,38631,0,ES,M
2023,SE,FT,Data Scientist,38631,0,ES,M
2023,SE,FT,Data Scientist,38631,0,ES,M
2023,MI,FT,AI Scientist,38631,50,ES,L
2023,SE,FT,Data Scientist,38631,0,LV,M
2023,SE,FT,Machine Learning Engineer,38631,0,LV,M
2022,SE,FT,Data Analyst,39925,0,ES,M
2022,EN,FT,Data Scientist,39925,50,FR,L
2022,EN,FT,Applied Data Scientist,40000,100,PK,M
2022,EN,FT,AI Programmer,40000,100,AU,M
2022,EN,FT,Machine Learning Developer,40000,100,AU,M
2022,EN,FT,Data Scientist,40000,100,MY,L
2023,MI,FT,Data Scientist,40000,50,FR,L
2021,MI,FT,Data Scientist,40038,100,CL,L
2021,MI,FT,Data Science Engineer,40189,100,GR,M
2021,SE,FT,Lead Data Scientist,40570,50,IN,L
2023,EN,FT,Data Analyst,40663,0,CA,L
2023,SE,FT,Data Analyst,40777,0,ES,M
2023,SE,FT,Data Analyst,40777,0,ES,M
2022,MI,FT,Data Engineer,42000,100,BR,M
2022,SE,FT,Data Engineer,42026,0,ES,M
2022,SE,FT,Data Engineer,42026,0,PT,M
2022,MI,FT,Data Analyst,42026,100,ES,M
2022,MI,FT,Data Analyst,42026,100,GR,M
2021,EN,FT,Data Analyst,42028,50,AU,L
2023,MI,FT,Data Analyst,42533,0,GB,M
2023,SE,FT,Data Analyst,42533,100,CF,M
2023,MI,FT,Insight Analyst,42533,0,GB,M
2023,EN,FT,Applied Machine Learning Scientist,42923,50,DE,M
2022,SE,FT,Data Engineer,43096,100,GB,M
2022,MI,FT,Data Scientist,43096,0,GB,M
2022,EN,FT,Data Engineer,43096,100,GB,M
2022,MI,FT,Data Analyst,43096,0,GB,M
2023,MI,FT,Data Analyst,43809,100,GB,M
2023,MI,FT,Data Analyst,43809,0,GB,M
2022,MI,FT,NLP Engineer,44365,100,PL,S
2022,MI,FT,BI Data Analyst,45050,50,AU,L
2021,EN,FT,Data Engineer,45390,50,GB,L
2021,MI,FT,Data Engineer,45391,100,NL,L
2021,MI,FL,Autonomous Vehicle Technician,45555,50,BS,M
2022,EN,FT,Data Manager,45600,100,US,M
2022,EN,FT,Data Analyst,46000,100,US,L
2023,MI,FT,Data Analyst,46178,0,GB,M
2023,MI,FT,Machine Learning Engineer,46178,100,GB,M
2021,MI,FT,Machine Learning Engineer,46597,100,PL,L
2021,MI,FT,Data Scientist,46809,100,ES,M
2022,SE,FT,Data Scientist,47280,0,ES,M
2022,SE,FT,Data Scientist,47280,0,ES,M
2022,SE,FT,Data Scientist,47280,0,ES,M
2022,SE,FT,Data Scientist,47280,0,ES,M
2022,SE,FT,Data Scientist,47280,0,ES,M
2022,SE,FT,Data Scientist,47280,0,ES,M
2022,SE,FT,Data Scientist,47280,0,ES,M
2022,MI,FT,Data Engineer,47280,100,ES,M
2022,MI,FT,Data Engineer,47280,100,GR,M
2021,MI,FT,Machine Learning Engineer,47282,100,ES,S
2022,EN,FT,Business Data Analyst,48000,50,US,L
2022,EN,FT,Data Analyst,48000,0,US,M
2022,MI,FT,Analytics Engineer,48000,100,BR,M
2022,MI,FT,BI Analyst,48000,100,BR,M
2022,SE,FT,Analytics Engineer,48000,100,US,S
2022,MI,FT,Data Scientist,48000,100,US,S
2023,SE,FT,Data Manager,48000,0,CO,M
2023,EN,FT,Data Analyst,48000,0,US,M
2023,EN,FT,Data Analyst,48000,0,US,M
2023,SE,FT,Data Scientist,48289,0,ES,M
2023,SE,FT,Data Scientist,48289,0,ES,M
2023,MI,FT,Big Data Engineer,48289,100,ES,M
2023,SE,FT,Data Scientist,48289,0,ES,M
2023,MI,FT,Data Scientist,48289,0,ES,M
2023,MI,FT,Data Engineer,48289,100,SI,M
2023,SE,FT,Data Scientist,48289,0,ES,M
2023,MI,FT,Data Analyst,48609,0,GB,M
2023,MI,FT,Machine Learning Engineer,48609,100,GB,M
2022,MI,FT,Deep Learning Engineer,49253,100,GB,M
2022,EN,FT,Data Engineer,49253,100,GB,M
2022,MI,FT,Data Analyst,49253,100,GB,M
2022,MI,FT,Data Engineer,49253,0,GB,M
2022,EN,FT,Data Engineer,49253,100,GB,M
2021,EN,FT,Data Scientist,49646,50,FR,M
2021,SE,FT,Data Analyst,50000,100,PH,S
2021,EN,FT,Data Analyst,50000,100,US,M
2021,MI,FT,Data Scientist,50000,100,NG,L
2021,SE,FT,Data Analytics Engineer,50000,100,GB,M
2021,SE,FT,Research Scientist,50000,100,US,S
2022,EN,FT,Data Analyst,50000,50,US,L
2022,EN,FT,Data Analyst,50000,50,US,L
2022,EN,FL,Data Analytics Consultant,50000,100,US,S
2022,EN,FT,3D Computer Vision Researcher,50000,100,CR,S
2022,SE,FT,Data Scientist,50000,100,US,M
2022,SE,FT,Data Engineer,50000,100,US,M
2022,SE,FT,Data Scientist,50000,100,US,M
2022,EN,FT,AI Scientist,50000,100,US,M
2022,EN,FT,Business Data Analyst,50000,100,AS,L
2022,EN,FT,Data Scientist,50000,50,DE,M
2022,EN,FT,Data Analyst,50000,100,AR,L
2022,EN,FT,Applied Data Scientist,50000,50,AT,M
2022,MI,FT,Data Analyst,50000,100,US,M
2023,SE,FL,Machine Learning Researcher,50000,50,UA,S
2023,SE,FL,Software Data Engineer,50000,50,AU,M
2023,EN,FT,Data Analyst,50000,50,US,L
2023,MI,FT,Machine Learning Engineer,50000,0,AM,S
2023,EN,FT,Data Scientist,50000,100,US,M
2022,SE,FT,Data Analyst,50432,0,ES,M
2022,SE,FT,Data Analyst,50432,0,ES,M
2022,SE,FT,Data Analyst,50432,0,ES,M
2022,SE,FT,Data Analyst,50432,0,ES,M
2022,MI,FT,BI Data Analyst,50432,100,DE,S
2022,SE,FT,Data Scientist,51000,100,US,M
2023,MI,FT,Data Scientist,51039,0,GB,M
2023,MI,FT,Data Scientist,51039,0,GB,M
2023,MI,FT,Insight Analyst,51039,0,GB,M
2021,MI,FT,Machine Learning Engineer,51064,50,IT,L
2022,EN,FT,Data Scientist,51081,100,CA,L
2023,SE,FT,Data Analyst,51508,100,ES,M
2023,SE,FT,Data Analyst,51508,0,ES,M
2023,SE,FT,Data Analyst,51508,0,ES,M
2021,MI,FT,Data Analyst,51519,50,GB,L
2022,MI,FT,Data Science Consultant,51716,0,GB,M
2023,EN,FT,Data Scientist,51753,100,CA,L
2023,MI,FT,Data Scientist,51962,100,US,M
2023,SE,FT,Data Analyst,51962,100,US,M
2022,EN,FT,Data Analyst,52000,0,CA,M
2022,EN,FT,Data Scientist,52008,50,BE,S
2022,SE,FT,Data Analyst,52500,0,US,M
2022,MI,FT,Data Analyst,52500,0,US,M
2023,MI,FT,Data Analyst,52500,100,US,M
2023,SE,FT,Data Analyst,52500,0,US,M
2023,MI,FT,Data Analyst,52500,0,US,M
2022,MI,FT,Data Scientist,52533,100,FR,M
2022,MI,FT,Data Scientist,52533,100,FR,M
2022,MI,FT,ETL Developer,52533,0,GR,M
2022,MI,FT,ETL Developer,52533,0,GR,M
2022,MI,PT,Data Engineer,52533,50,DE,L
2021,SE,FT,Data Scientist,53192,50,FR,L
2022,MI,FT,BI Data Analyst,53368,100,AU,M
2022,MI,FT,Data Scientist,53416,100,ID,L
2023,SE,FT,Data DevOps Engineer,53654,50,FR,S
2023,SE,FT,Computer Vision Software Engineer,53654,100,CA,L
2023,MI,FT,Data Scientist,53654,50,RO,L
2022,MI,FT,Data Scientist,54000,100,BR,M
2022,MI,FT,Analytics Engineer,54000,0,US,M
2022,SE,FT,Data Engineer,54000,0,US,M
2021,SE,FT,Data Scientist,54094,100,IN,L
2021,SE,FT,Data Science Manager,54094,50,US,L
2021,MI,FT,Applied Data Scientist,54238,50,CA,L
2023,SE,FT,Data Manager,54365,0,GB,M
2022,MI,FT,Data Scientist,54634,100,NL,S
2023,SE,FT,Data Analyst,54685,100,CF,M
2023,MI,FT,Data Scientist,54685,0,GB,M
2023,MI,FT,Data Analyst,54685,0,GB,M
2023,MI,FT,Data Analyst,54685,0,GB,M
2021,EN,FT,BI Data Analyst,55000,50,US,S
2021,SE,FT,AI Scientist,55000,100,ES,L
2022,EN,FT,Data Analyst,55000,0,US,M
2022,SE,FT,Data Analyst,55000,100,US,M
2022,SE,FT,Data Scientist,55000,100,US,S
2022,EN,FT,Data Analyst,55000,100,US,S
2023,SE,FT,Data Analyst,55000,0,US,M
2023,EN,FT,Data Analyst,55000,0,US,M
2023,EN,FT,Data Analyst,55000,0,US,M
2022,MI,FT,Data Analyst,55410,0,GB,M
2022,EN,FT,Machine Learning Engineer,55410,100,GB,S
2022,MI,FT,Data Engineer,55410,100,GB,M
2022,EN,FT,Data Engineer,55475,100,DE,M
2022,MI,FT,Machine Learning Infrastructure Engineer,55685,50,PT,L
2023,SE,FT,Data Analyst,55800,100,ES,M
2023,EN,FT,Data Analyst,56100,100,US,M
2021,MI,FT,Data Scientist,56256,50,GB,L
2022,EN,FT,Machine Learning Engineer,56536,100,CH,S
2022,SE,FT,Lead Data Scientist,56723,0,IN,L
2021,MI,FT,Research Scientist,56738,50,FR,S
2022,EN,FT,BI Data Analyst,57000,100,US,L
2023,MI,FT,ETL Engineer,57723,100,GB,M
2023,MI,FT,Data Engineer,57723,100,GB,M
2022,SE,FT,Director of Data Science,57786,50,FR,L
2022,MI,FT,Data Scientist,57872,50,GB,M
2021,EN,FT,Data Scientist,58000,50,US,L
2022,MI,FT,Data Analyst,58000,0,US,S
2022,MI,FT,Data Analyst,58000,0,US,S
2023,EN,FT,Data Engineer,58000,100,US,M
2023,MI,FT,Machine Learning Engineer,58331,100,GB,M
2022,MI,FT,Computer Vision Engineer,58837,100,FR,S
2023,MI,FT,Data Scientist,59020,0,ES,M
2023,MI,FT,Data Engineer,59020,100,ES,M
2021,EN,FT,Data Analyst,59102,50,FR,M
2021,EN,FT,Business Data Analyst,59102,100,LU,L
2022,EN,FT,Data Engineer,59888,100,NL,L
2022,SE,FT,Machine Learning Engineer,59888,100,NL,L
2021,MI,FT,Big Data Engineer,60000,50,RO,M
2021,EN,FT,Data Analyst,60000,100,US,S
2022,MI,FT,Data Analyst,60000,100,US,M
2022,MI,FT,Data Analyst,60000,100,US,M
2022,MI,FT,Data Operations Engineer,60000,100,US,M
2022,MI,CT,NLP Engineer,60000,100,US,S
2022,MI,FT,Data Operations Engineer,60000,100,US,M
2022,MI,FT,Data Operations Engineer,60000,100,US,M
2022,SE,FT,Data Science Engineer,60000,100,MX,L
2022,SE,FT,Data Analyst,60000,100,US,M
2023,EN,FT,BI Data Engineer,60000,100,US,M
2023,SE,FT,AI Developer,60000,0,UA,M
2023,EN,FT,Data Analyst,60000,100,US,M
2023,MI,FT,Data Engineer,60000,100,MX,M
2023,MI,FT,Data Analyst,60000,0,US,M
2023,EN,FT,Data Analyst,60000,100,US,M
2023,EN,FT,Research Engineer,60000,100,GB,M
2023,EN,FT,Data Analyst,60000,100,US,L
2023,SE,FT,Data Analyst,60000,0,US,M
2023,MI,FT,Data Scientist,60093,100,DE,M
2023,MI,FT,Data Engineer,60400,100,US,M
2021,SE,FT,Research Scientist,60757,50,PT,L
2023,MI,FT,Data Science Lead,60761,0,GB,M
2023,MI,FT,Data Analyst,60761,0,GB,M
2023,MI,FT,Head of Data Science,60795,50,IN,L
2022,EN,FT,BI Data Analyst,60938,0,DE,L
2022,MI,FT,Data Scientist,60938,0,DE,M
2022,MI,FT,Data Scientist,60938,100,DE,S
2023,MI,FT,Data Analyst,61200,0,US,M
2022,SE,FT,Data Analyst,61300,100,CA,M
2022,SE,FT,Data Analyst,61300,100,CA,M
2021,MI,FT,Data Scientist,61467,50,AT,M
2022,SE,FT,Data Engineer,61566,100,GB,M
2022,EN,FT,Data Engineer,61566,100,GB,M
2022,SE,FT,Data Analyst,61566,0,GB,M
2022,MI,FT,Lead Data Scientist,61566,50,GB,S
2022,MI,FT,Data Engineer,61566,0,GB,M
2022,MI,FT,Data Scientist,61566,0,GB,M
2022,SE,FT,Data Engineer,61566,0,GB,M
2022,MI,FT,Data Analyst,61566,0,GB,M
2023,EN,FT,Data Engineer,61800,100,US,M
2023,EN,FT,Data Engineer,61800,100,US,M
2021,SE,FT,Finance Data Analyst,61896,50,GB,L
2022,MI,FT,Research Scientist,61989,0,AT,L
2021,MI,FT,Data Analyst,62000,0,US,L
2022,MI,FT,Data Analyst,62000,0,US,M
2023,EN,FT,Data Engineer,62000,100,US,M
2021,MI,FT,Research Scientist,62649,50,FR,M
2022,SE,FT,Data Engineer,63000,100,US,M
2022,SE,FT,ETL Developer,63000,100,US,M
2022,SE,FT,ETL Developer,63000,100,US,M
2022,SE,FT,Data Engineer,63000,100,US,M
2022,SE,FT,Data Engineer,63000,100,US,M
2022,SE,FT,Analytics Engineer,63000,0,US,M
2022,SE,FT,Analytics Engineer,63000,0,US,M
2022,SE,FT,Data Engineer,63000,0,US,M
2022,SE,FT,ETL Developer,63000,0,US,M
2022,SE,FT,Data Architect,63000,0,US,M
2022,SE,FT,Data Engineer,63000,0,US,M
2022,SE,FT,Data Engineer,63000,0,US,M
2022,SE,FT,Data Architect,63000,0,US,M
2022,SE,FT,Data Engineer,63000,0,US,M
2023,SE,FT,Data Engineer,63000,100,US,M
2023,SE,FT,Data Engineer,63000,100,US,M
2022,MI,FT,Data Scientist,63040,100,FR,M
2022,SE,FT,Data Engineer,63040,0,PT,M
2022,SE,FT,Machine Learning Engineer,63040,50,FI,S
2022,MI,FT,Data Engineer,63040,100,ES,M
2022,MI,FT,Data Engineer,63040,100,GR,M
2023,MI,FT,Data Engineer,63192,100,GB,M
2023,MI,FT,Machine Learning Engineer,63192,100,GB,M
2023,SE,FT,Data Scientist,63312,50,EE,L
2021,MI,FT,ML Engineer,63711,50,JP,S
2021,MI,FT,Research Scientist,63810,100,CA,M
2021,EN,FT,Data Science Consultant,63831,50,DE,L
2021,SE,FT,Data Analyst,63831,50,DE,L
2022,MI,FT,Data Engineer,63900,0,US,M
2022,EN,FT,Data Analyst,64000,100,US,L
2023,SE,FT,Data Analyst,64000,100,US,M
2022,MI,FT,Data Scientist,64090,0,DE,M
2023,EN,FT,Data Analyst,64200,100,US,M
2023,MI,FT,Data Scientist,64385,50,FR,M
2023,EN,FT,AI Developer,64385,0,DE,M
2023,MI,FT,Data Analyst,64500,0,US,M
2023,SE,FT,Data Quality Analyst,64980,0,US,M
2022,EN,FT,Data Engineer,65000,0,US,M
2022,MI,FT,Data Analyst,65000,100,US,M
2022,SE,FT,Data Analyst,65000,100,US,M
2022,MI,FT,Data Analyst,65000,0,CA,M
2022,MI,FT,Data Engineer,65000,0,US,M
2022,MI,FT,Data Analyst,65000,0,US,M
2022,SE,FT,Machine Learning Engineer,65000,100,AE,S
2022,EN,FT,Data Engineer,65000,100,US,S
2023,SE,FT,Data Analyst,65000,0,US,M
2023,EN,FT,Data Engineer,65000,0,US,M
2023,EN,FT,Data Engineer,65000,0,US,M
2023,EN,FT,Data Engineer,65000,0,US,M
2023,EN,FT,Data Engineer,65000,0,US,M
2023,SE,FT,Data Manager,65000,0,CO,M
2023,MI,FT,Data Analyst,65000,100,US,M
2023,SE,FT,Data Engineer,65000,0,US,M
2023,SE,FT,Data Engineer,65000,100,US,M
2021,EN,FT,Data Engineer,65013,50,DE,M
2023,MI,FT,Data Scientist,65062,0,HK,L
2022,MI,FT,Data Engineer,65141,100,FR,M
2022,MI,FT,Data Analyst,65257,50,SG,M
2023,SE,FT,Data Engineer,65488,0,US,M
2023,SE,FT,Data Engineer,65488,0,US,M
2022,MI,FT,Data Engineer,65666,50,DE,S
2022,SE,FT,Data Architect,66000,100,US,M
2022,SE,FT,Data Operations Analyst,66000,100,US,M
2023,SE,FT,Data Engineer,66000,100,US,M
2021,MI,FT,Data Engineer,66022,50,GB,S
2022,MI,FT,Data Analyst,66100,100,US,M
2022,EN,FT,Machine Learning Research Engineer,66192,50,DE,L
2023,MI,FT,Data Engineer,66531,100,ES,M
2023,MI,FT,Data Scientist,66837,0,GB,M
2023,MI,FT,Data Engineer,66837,100,GB,M
2021,EN,FT,Marketing Data Engineer,66970,50,SG,L
2022,EN,FT,Data Analyst,67000,0,CA,M
2023,MI,FT,Machine Learning Engineer,67141,0,GB,M
2022,MI,FT,Data Scientist,67597,100,CA,M
2022,MI,FT,Data Scientist,67723,0,GB,M
2022,MI,FT,Data Engineer,67723,100,GB,M
2022,MI,FT,Data Engineer,67723,100,GB,M
2022,MI,FT,Data Engineer,67723,100,GB,M
2022,MI,FT,Data Scientist,67723,0,GB,M
2023,MI,FT,Lead Data Analyst,68000,0,US,L
2022,SE,FT,Data Engineer,68293,0,ES,M
2022,SE,FT,Data Engineer,68293,0,ES,M
2022,SE,FT,Data Engineer,68293,0,ES,M
2022,SE,FT,Data Management Specialist,68293,0,IT,L
2022,SE,FT,Machine Learning Engineer,68293,100,IE,S
2023,SE,FT,Applied Data Scientist,68318,100,FI,M
2022,SE,FT,Data Analyst,68400,100,US,M
2022,SE,FT,Data Analyst,69000,100,US,M
2022,MI,FT,Business Data Analyst,69133,50,CA,L
2022,SE,FT,Lead Machine Learning Engineer,69344,100,PT,L
2021,MI,PT,Data Engineer,69741,100,NL,L
2021,EX,FT,Data Science Consultant,69741,100,ES,S
2023,MI,FT,Applied Machine Learning Engineer,69751,100,DE,S
2023,SE,FT,Data Engineer,69751,0,PT,M
2021,MI,FT,Research Scientist,69999,50,CZ,L
2021,EN,FT,Computer Vision Software Engineer,70000,100,US,M
2022,MI,FT,Data Engineer,70000,0,US,M
2022,SE,FT,Data Specialist,70000,0,US,M
2022,SE,FT,Data Engineer,70000,0,US,M
2022,SE,FT,Data Specialist,70000,0,US,M
2022,SE,FT,Data Scientist,70000,0,US,M
2022,SE,FT,Data Analyst,70000,0,US,M
2022,SE,FT,Data Analyst,70000,0,US,M
2022,SE,FT,Data Operations Engineer,70000,0,US,M
2022,SE,FT,Data Specialist,70000,100,US,M
2023,SE,FT,Data Scientist,70000,0,US,M
2023,MI,FT,Data Engineer,70000,100,US,M
2023,EN,FT,Data Analyst,70000,0,US,M
2023,MI,FT,Data Engineer,70000,100,US,M
2023,SE,FT,Data Analyst,70000,0,US,M
2023,SE,FT,Data Analyst,70000,0,US,M
2023,EN,FT,Data Analyst,70000,100,US,M
2023,SE,FT,Data Analyst,70000,0,US,M
2023,EN,FT,AI Programmer,70000,0,AU,L
2023,SE,FT,Data Scientist,70000,0,US,M
2023,MI,FT,Data Science Manager,70000,0,US,M
2023,MI,FT,Data Science Consultant,70000,0,US,M
2023,MI,FT,Research Scientist,70000,0,US,M
2023,SE,FT,Data Scientist,70000,0,US,M
2023,MI,FT,Data Engineer,70000,0,US,M
2022,MI,FT,Data Science Consultant,70186,0,GB,M
2022,SE,FT,Data Analyst,70186,0,GB,M
2022,SE,FT,Data Engineer,70500,0,US,M
2021,SE,FT,Data Analyst,71786,100,CA,M
2023,SE,FT,BI Data Analyst,71897,100,DE,M
2023,EN,FT,Data Scientist,71907,100,US,M
2023,SE,FT,Data Strategist,72000,0,CA,M
2023,MI,FT,Data Engineer,72000,100,MX,M
2023,MI,FT,Data Analyst,72000,0,US,M
2023,SE,FT,Applied Scientist,72000,0,US,L
2023,SE,FT,Data Quality Analyst,72200,0,US,M
2021,MI,FT,Data Engineer,72212,50,GB,L
